date	close	volume	open	high	low
4/5/16	222.56	8550004	230.29	234.46	220.4
5/5/16	211.53	11248340	228.46	228.64	209.79
6/5/16	214.93	5683675	210.87	216.37	208.11
9/5/16	208.92	4772992	215.72	216.15	206.8
10/5/16	208.69	4068053	207.55	209.47	205
11/5/16	208.96	5159640	207.59	215.48	206.05
12/5/16	207.28	3650075	211.44	211.67	203.6572
13/5/16	207.61	2820616	207.78	211.2	206.7
16/5/16	208.29	2945754	208.15	213.15	207.92
17/5/16	204.66	2842028	209.05	209.8199	204.02
18/5/16	211.17	5552692	209.15	215.31	207.75
19/5/16	215.21	6817922	213.62	216.79	207.3
20/5/16	220.28	8996546	216.99	220.55	216.35
23/5/16	216.22	5096751	219.87	222.6	215.86
24/5/16	217.91	3009327	216.6	218.74	215.18
25/5/16	219.58	3131279	217.91	221.36	216.51
26/5/16	225.12	4066512	220.5	225.26	219.05
27/5/16	223.04	3645792	224.99	225.93	220.75
31/5/16	223.23	2786682	223.04	224.7497	221.5001
1/6/16	219.56	2982270	221.48	222.4	216.89
2/6/16	218.96	2017279	219.59	219.909	217.11
3/6/16	218.99	2226110	220	221.94	218.01
6/6/16	220.68	2242634	218	220.9	215.45
7/6/16	232.34	6194154	222.24	234.44	221.52
8/6/16	235.52	5965110	233.8	240.845	232.605
9/6/16	229.36	4454222	234.98	235.33	227.06
10/6/16	218.79	5994548	227.39	227.97	218.4217
13/6/16	217.87	4187833	219.5	225.77	217.66
14/6/16	214.96	3575822	218.88	222.2	212.53
15/6/16	217.7	2905002	216.95	221.9	215.13
16/6/16	217.93	2438692	217.42	218.04	213.5
17/6/16	215.47	3107734	217.81	219.99	214.5
20/6/16	219.7	3549768	219.5	223.75	218.23
21/6/16	219.61	2855619	220.68	222.569	218.81
22/6/16	196.66	23706100	199.47	205.95	195.75
23/6/16	196.4	10098190	195.69	197.55	192.13
24/6/16	193.15	6988949	190.05	195.12	189.73
27/6/16	198.55	7211823	190.86	198.81	187.87
28/6/16	201.79	6158996	201.89	204.05	199.41
29/6/16	210.19	5987120	205.13	211.78	203
30/6/16	212.28	4794440	212.97	213.4999	209.02
1/7/16	216.5	5396030	206.14	218.24	206
5/7/16	213.98	5169832	209.73	214.5441	208
6/7/16	214.44	4910285	210	215.23	209
7/7/16	215.94	3603385	213.1	218.12	213.01
8/7/16	216.78	4067131	217.8	219.81	214.5
11/7/16	224.78	5369066	219.96	226.78	219.51
12/7/16	224.65	4573875	224.1	227.5	223.22
13/7/16	222.53	3540699	225.5	225.59	220.29
14/7/16	221.53	2657899	223.12	224.94	221.05
15/7/16	220.4	2230821	222.52	222.7499	219.64
18/7/16	226.25	3394588	219.64	227.09	218.3
19/7/16	225.26	3047535	225	229.1	224.75
20/7/16	228.36	2556119	226.47	229.8	225
21/7/16	220.5	4425756	226	227.847	219.1
22/7/16	222.27	2570462	221.99	224.5	218.88
25/7/16	230.01	4479483	222.27	231.39	221.3715
26/7/16	229.51	3427251	227.69	230	225.3
27/7/16	228.49	2887028	229.34	233.36	226.92
28/7/16	230.61	2415462	227.95	230.76	226.6
29/7/16	234.79	3061574	230.7	235.28	230.24
1/8/16	230.01	4014048	235.5	236.63	229.38
2/8/16	227.2	3928706	229.37	229.87	221.4
